name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
